"rgn_id","sciname","category"
1,"Balaenoptera physalus","EN"
4,"Balaenoptera physalus","EN"
5,"Balaenoptera physalus","EN"
2,"Balaenoptera physalus","EN"
3,"Balaenoptera physalus","EN"
6,"Balaenoptera physalus","EN"
1,"Chelonia mydas","EX"
4,"Chelonia mydas","EX"
5,"Chelonia mydas","EX"
2,"Chelonia mydas","EX"
3,"Chelonia mydas","EX"
6,"Chelonia mydas","EX"
1,"Cetorhinus maximus","VU"
4,"Cetorhinus maximus","VU"
5,"Cetorhinus maximus","VU"
2,"Cetorhinus maximus","VU"
3,"Cetorhinus maximus","VU"
6,"Cetorhinus maximus","VU"
1,"Carcharodon carcharias","VU"
4,"Carcharodon carcharias","VU"
5,"Carcharodon carcharias","VU"
2,"Carcharodon carcharias","VU"
3,"Carcharodon carcharias","VU"
6,"Carcharodon carcharias","VU"
1,"Cheilinus undulatus","EN"
4,"Cheilinus undulatus","EN"
5,"Cheilinus undulatus","EN"
2,"Cheilinus undulatus","EN"
3,"Cheilinus undulatus","EN"
6,"Cheilinus undulatus","EN"
1,"Balaenoptera acutorostrata","LC"
4,"Balaenoptera acutorostrata","LC"
5,"Balaenoptera acutorostrata","LC"
2,"Balaenoptera acutorostrata","LC"
3,"Balaenoptera acutorostrata","LC"
6,"Balaenoptera acutorostrata","LC"
1,"Caretta caretta","EN"
4,"Caretta caretta","EN"
5,"Caretta caretta","EN"
2,"Caretta caretta","EN"
3,"Caretta caretta","EN"
6,"Caretta caretta","EN"
1,"Rhincodon typus","VU"
4,"Rhincodon typus","VU"
5,"Rhincodon typus","VU"
2,"Rhincodon typus","VU"
3,"Rhincodon typus","VU"
6,"Rhincodon typus","VU"
1,"Isurus oxyrinchus","VU"
4,"Isurus oxyrinchus","VU"
5,"Isurus oxyrinchus","VU"
2,"Isurus oxyrinchus","VU"
3,"Isurus oxyrinchus","VU"
6,"Isurus oxyrinchus","VU"
1,"Dermochelys coriacea","EX"
4,"Dermochelys coriacea","EX"
5,"Dermochelys coriacea","EX"
2,"Dermochelys coriacea","EX"
3,"Dermochelys coriacea","EX"
6,"Dermochelys coriacea","EX"
